Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,2,Afghanistan,5419,Yield,15,Wheat,2015,2015,hg/ha,21959,Fc,Calculated data
QC,Crops,3,Albania,5419,Yield,15,Wheat,2015,2015,hg/ha,39511,Fc,Calculated data
QC,Crops,4,Algeria,5419,Yield,15,Wheat,2015,2015,hg/ha,14640,Fc,Calculated data
QC,Crops,7,Angola,5419,Yield,15,Wheat,2015,2015,hg/ha,7766,Fc,Calculated data
QC,Crops,9,Argentina,5419,Yield,15,Wheat,2015,2015,hg/ha,28731,Fc,Calculated data
QC,Crops,1,Armenia,5419,Yield,15,Wheat,2015,2015,hg/ha,33437,Fc,Calculated data
QC,Crops,10,Australia,5419,Yield,15,Wheat,2015,2015,hg/ha,19172,Fc,Calculated data
QC,Crops,11,Austria,5419,Yield,15,Wheat,2015,2015,hg/ha,56962,Fc,Calculated data
QC,Crops,52,Azerbaijan,5419,Yield,15,Wheat,2015,2015,hg/ha,30385,Fc,Calculated data
QC,Crops,16,Bangladesh,5419,Yield,15,Wheat,2015,2015,hg/ha,30801,Fc,Calculated data
QC,Crops,57,Belarus,5419,Yield,15,Wheat,2015,2015,hg/ha,39623,Fc,Calculated data
QC,Crops,255,Belgium,5419,Yield,15,Wheat,2015,2015,hg/ha,100152,Fc,Calculated data
QC,Crops,18,Bhutan,5419,Yield,15,Wheat,2015,2015,hg/ha,18088,Fc,Calculated data
QC,Crops,19,Bolivia (Plurinational State of),5419,Yield,15,Wheat,2015,2015,hg/ha,17208,Fc,Calculated data
QC,Crops,80,Bosnia and Herzegovina,5419,Yield,15,Wheat,2015,2015,hg/ha,35263,Fc,Calculated data
QC,Crops,21,Brazil,5419,Yield,15,Wheat,2015,2015,hg/ha,22278,Fc,Calculated data
QC,Crops,27,Bulgaria,5419,Yield,15,Wheat,2015,2015,hg/ha,45316,Fc,Calculated data
QC,Crops,29,Burundi,5419,Yield,15,Wheat,2015,2015,hg/ha,6825,Fc,Calculated data
QC,Crops,32,Cameroon,5419,Yield,15,Wheat,2015,2015,hg/ha,13291,Fc,Calculated data
QC,Crops,33,Canada,5419,Yield,15,Wheat,2015,2015,hg/ha,28812,Fc,Calculated data
QC,Crops,39,Chad,5419,Yield,15,Wheat,2015,2015,hg/ha,14006,Fc,Calculated data
QC,Crops,40,Chile,5419,Yield,15,Wheat,2015,2015,hg/ha,56326,Fc,Calculated data
QC,Crops,41,"China, mainland",5419,Yield,15,Wheat,2015,2015,hg/ha,53926,Fc,Calculated data
QC,Crops,214,"China, Taiwan Province of",5419,Yield,15,Wheat,2015,2015,hg/ha,23540,Fc,Calculated data
